sector,wa_bin,wa_bin_id,bias,n_sb
Aerospace & Defense,1.0,2,,2
Aerospace & Defense,1.5,3,,1
Aerospace & Defense,2.5,5,,3
Aerospace & Defense,3.0,6,,4
Aerospace & Defense,3.5,7,-0.19999999999999993,7
Aerospace & Defense,4.0,8,0.15714285714285733,14
Aerospace & Defense,4.5,9,0.44374999999999987,16
Aerospace & Defense,5.0,10,1.0272727272727276,22
Aerospace & Defense,5.5,11,1.1481481481481484,27
Aerospace & Defense,6.0,12,1.6666666666666667,6
Aerospace & Defense,6.5,13,1.9166666666666667,6
Aerospace & Defense,7.0,14,,2
Aerospace & Defense,7.5,15,,1
Air Freight & Logistics,3.0,6,,1
Air Freight & Logistics,3.5,7,,3
Air Freight & Logistics,4.0,8,,2
Air Freight & Logistics,4.5,9,-0.2846153846153847,13
Air Freight & Logistics,5.0,10,,3
Air Freight & Logistics,5.5,11,0.15555555555555578,9
Air Freight & Logistics,6.0,12,0.821428571428572,14
Air Freight & Logistics,6.5,13,1.3214285714285712,14
Air Freight & Logistics,7.0,14,,2
Airlines,2.5,5,,3
Airlines,3.5,7,-0.06666666666666654,12
Airlines,4.0,8,1.0173913043478262,23
Airlines,4.5,9,0.7863636363636364,44
Airlines,5.0,10,2.2058823529411766,17
Airlines,5.5,11,2.9545454545454546,11
Airlines,6.0,12,,1
Asset Management & Custody Banks,2.5,5,-2.514285714285714,7
Asset Management & Custody Banks,3.0,6,-3.125,8
Asset Management & Custody Banks,3.5,7,-1.9000000000000001,9
Asset Management & Custody Banks,4.0,8,-1.715217391304347,46
Asset Management & Custody Banks,4.5,9,-0.9342342342342342,111
Asset Management & Custody Banks,5.0,10,0.35806451612903206,31
Asset Management & Custody Banks,5.5,11,1.0958333333333334,72
Asset Management & Custody Banks,6.0,12,1.55625,80
Asset Management & Custody Banks,6.5,13,2.5839999999999996,25
Asset Management & Custody Banks,7.0,14,,2
Auto Components,1.0,2,,1
Auto Components,1.5,3,,1
Auto Components,2.0,4,,2
Auto Components,2.5,5,-2.5799999999999996,5
Auto Components,3.0,6,-1.77,10
Auto Components,3.5,7,-1.0749999999999997,20
Auto Components,4.0,8,-0.011111111111111134,36
Auto Components,4.5,9,0.7838709677419357,31
Auto Components,5.0,10,1.8878787878787877,33
Auto Components,5.5,11,2.2916666666666665,12
Auto Components,6.0,12,3.7000000000000006,6
Auto Components,6.5,13,,1
Auto Components,7.0,14,,1
Automobiles,2.0,4,,1
Automobiles,3.0,6,-1.8125,24
Automobiles,3.5,7,-1.4965517241379311,29
Automobiles,4.0,8,-0.036585365853658784,41
Automobiles,4.5,9,1.025,36
Automobiles,5.0,10,2.2733333333333334,30
Automobiles,5.5,11,3.0999999999999996,8
Automobiles,6.0,12,,2
Automobiles,6.5,13,,3
Banks,2.0,4,,3
Banks,2.5,5,-1.2000000000000004,17
Banks,3.0,6,-0.7131147540983606,61
Banks,3.5,7,-0.24328358208955225,134
Banks,4.0,8,0.38731707317073166,205
Banks,4.5,9,0.8309623430962344,239
Banks,5.0,10,1.5299450549450548,364
Banks,5.5,11,2.1376199616122835,521
Banks,6.0,12,2.39493023255814,215
Banks,6.5,13,2.6697142857142855,140
Banks,7.0,14,2.6894736842105265,57
Banks,7.5,15,2.2999999999999994,27
Beverages,2.0,4,,1
Beverages,2.5,5,,2
Beverages,3.0,6,-1.2,6
Beverages,3.5,7,-0.9888888888888887,9
Beverages,4.0,8,-0.28571428571428586,14
Beverages,4.5,9,0.22105263157894733,19
Beverages,5.0,10,0.6916666666666668,12
Beverages,5.5,11,1.3555555555555558,18
Beverages,6.0,12,1.9136363636363638,22
Beverages,6.5,13,,4
Beverages,7.5,15,2.0999999999999996,5
Biotechnology,2.0,4,,1
Biotechnology,2.5,5,-2.44,10
Biotechnology,3.0,6,-2.15,12
Biotechnology,3.5,7,-1.5297872340425536,47
Biotechnology,4.0,8,-0.6999999999999998,96
Biotechnology,4.5,9,0.5234042553191489,47
Biotechnology,5.0,10,1.6925925925925924,27
Biotechnology,5.5,11,2.694117647058823,17
Biotechnology,6.0,12,,1
"Broadcasting, Cable & Satellite",5.0,10,,1
Building Products,3.0,6,-3.2,5
Building Products,4.0,8,,2
Building Products,4.5,9,-0.7333333333333331,9
Building Products,5.0,10,-0.37857142857142867,14
Building Products,5.5,11,0.7448275862068965,29
Building Products,6.0,12,1.5076923076923074,26
Building Products,6.5,13,2.168235294117647,17
Building Products,7.0,14,2.8375000000000004,8
Building Products,7.5,15,,2
Casinos & Gaming,2.5,5,,4
Casinos & Gaming,3.5,7,-1.8,5
Casinos & Gaming,4.0,8,,2
Casinos & Gaming,4.5,9,-0.6909090909090908,11
Casinos & Gaming,5.0,10,-0.35999999999999976,10
Casinos & Gaming,5.5,11,0.14444444444444463,18
Casinos & Gaming,6.0,12,1.0083333333333329,12
Casinos & Gaming,6.5,13,1.1699999999999995,10
Casinos & Gaming,7.0,14,,2
Casinos & Gaming,7.5,15,2.2875000000000005,8
Casinos & Gaming,8.0,16,,1
Commercial Services & Supplies,0.5,1,,1
Commercial Services & Supplies,3.0,6,,1
Commercial Services & Supplies,3.5,7,,2
Commercial Services & Supplies,4.0,8,-2.3249999999999997,8
Commercial Services & Supplies,4.5,9,-1.186666666666667,30
Commercial Services & Supplies,5.0,10,-0.6555555555555556,18
Commercial Services & Supplies,5.5,11,-0.3631578947368422,19
Commercial Services & Supplies,6.0,12,0.2892857142857143,28
Commercial Services & Supplies,6.5,13,0.7107142857142856,28
Commercial Services & Supplies,7.0,14,1.3361538461538462,13
Commercial Services & Supplies,8.0,16,,4
Commodity & Diversified Chemicals,0.5,1,,1
Commodity & Diversified Chemicals,1.0,2,,1
Commodity & Diversified Chemicals,2.0,4,,3
Commodity & Diversified Chemicals,2.5,5,-1.3571428571428572,7
Commodity & Diversified Chemicals,3.0,6,-0.7055555555555555,18
Commodity & Diversified Chemicals,3.5,7,0.024999999999999967,24
Commodity & Diversified Chemicals,4.0,8,0.27222222222222214,18
Commodity & Diversified Chemicals,4.5,9,0.9659090909090913,44
Commodity & Diversified Chemicals,5.0,10,1.5021739130434781,46
Commodity & Diversified Chemicals,5.5,11,1.9523809523809528,21
Commodity & Diversified Chemicals,6.0,12,2.2875,8
Commodity & Diversified Chemicals,6.5,13,,1
Construction & Engineering,1.0,2,,1
Construction & Engineering,1.5,3,,1
Construction & Engineering,2.0,4,-2.2571428571428567,28
Construction & Engineering,2.5,5,-1.225,8
Construction & Engineering,3.0,6,-0.6320000000000001,25
Construction & Engineering,3.5,7,-0.6698113207547172,53
Construction & Engineering,4.0,8,-0.5357142857142856,28
Construction & Engineering,4.5,9,0.3939393939393938,33
Construction & Engineering,5.0,10,0.7672727272727273,55
Construction & Engineering,5.5,11,1.4149999999999998,40
Construction & Engineering,6.0,12,1.8519999999999999,25
Construction & Engineering,6.5,13,1.9857142857142855,14
Construction & Engineering,7.0,14,,3
Construction & Engineering,7.5,15,,2
Construction & Farm Machinery & Heavy Trucks,2.0,4,,1
Construction & Farm Machinery & Heavy Trucks,2.5,5,,1
Construction & Farm Machinery & Heavy Trucks,3.5,7,,3
Construction & Farm Machinery & Heavy Trucks,4.0,8,-1.4363636363636365,11
Construction & Farm Machinery & Heavy Trucks,4.5,9,-0.5999999999999999,32
Construction & Farm Machinery & Heavy Trucks,5.0,10,0.6909090909090907,44
Construction & Farm Machinery & Heavy Trucks,5.5,11,1.5470588235294118,34
